Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
106,Zach LaVine,30,SAC,SG,36,34,1148,14.6,.617,.470,.259,0.7,9.1,4.8,11.4,1.1,0.7,11.2,23.7,1.1,0.1,1.2,.050,0.5,-2.2,-1.7,0.1,,lavinza01
107,Cedric Coward,22,MEM,SG,43,30,1145,15.1,.584,.421,.244,5.8,19.2,12.5,16.5,1.0,1.3,12.8,21.2,1.1,1.2,2.3,.098,0.4,-0.1,0.4,0.7,,cowarce01
108,Reed Sheppard,21,HOU,SG,46,4,1141,15.6,.556,.564,.103,1.5,10.1,5.8,17.6,2.8,2.0,9.4,21.4,1.7,1.6,3.3,.140,1.1,1.5,2.6,1.3,,sheppre01
109,Keldon Johnson,26,SAS,SF,47,0,1134,18.9,.649,.336,.279,8.3,18.1,13.3,8.8,1.4,0.5,8.1,19.9,2.9,1.5,4.4,.186,2.2,0.2,2.4,1.3,,johnske04
110,Josh Hart,30,NYK,SF,37,23,1134,16.1,.607,.427,.213,5.7,22.2,13.8,22.8,2.1,1.1,17.6,16.8,1.8,1.6,3.4,.143,1.2,1.9,3.0,1.5,,hartjo01
111,Jalen Duren,22,DET,C,40,40,1130,23.9,.666,.000,.479,15.2,26.4,20.9,9.8,1.5,3.0,12.8,22.5,3.3,2.2,5.4,.231,2.9,0.4,3.3,1.5,,durenja01
112,Nikola Jokić,30,DEN,C,33,33,1130,36.7,.716,.275,.447,10.4,28.7,20.1,54.3,2.0,2.0,14.3,31.0,7.5,1.6,9.1,.387,12.4,4.4,16.8,5.3,,jokicni01
113,Ajay Mitchell,23,OKC,SG,43,9,1129,17.3,.590,.300,.287,2.9,11.0,7.2,19.8,2.6,1.2,11.7,22.3,1.6,2.1,3.7,.158,0.4,1.6,1.9,1.1,,mitchaj01
114,Jarace Walker,22,IND,PF,48,16,1126,10.1,.525,.515,.245,1.9,17.8,9.6,12.0,1.6,1.3,13.9,19.5,-0.8,1.0,0.2,.010,-2.5,-0.3,-2.7,-0.2,,walkeja02
115,De'Andre Hunter,28,CLE,SF,43,23,1125,12.1,.553,.492,.284,2.8,14.9,8.8,11.0,1.3,0.5,11.6,22.6,0.4,1.0,1.4,.058,-2.1,-1.3,-3.4,-0.4,,huntede01
116,Neemias Queta,26,BOS,C,45,44,1123,19.8,.649,.017,.360,13.3,22.6,18.0,8.0,1.9,5.2,11.5,15.1,2.8,1.9,4.7,.201,0.4,1.2,1.6,1.0,,quetane01
117,Kawhi Leonard,34,LAC,SF,34,34,1123,27.2,.628,.369,.310,3.4,17.8,10.8,20.3,3.2,1.8,8.7,32.4,3.3,1.4,4.7,.202,7.0,0.9,7.9,2.8,,leonaka01
118,Jamal Shead,23,TOR,PG,50,7,1118,11.3,.494,.543,.224,1.7,7.9,4.8,32.0,2.2,0.5,15.8,16.2,0.6,1.2,1.8,.075,-2.0,0.1,-1.9,0.0,,sheadja01
119,Sam Hauser,28,BOS,PF,47,19,1116,12.8,.599,.866,.034,3.2,14.7,9.0,8.1,1.3,1.3,6.9,15.1,1.7,1.1,2.8,.120,1.1,-0.3,0.8,0.8,,hausesa01
120,Moussa Diabaté,24,CHO,C,45,19,1116,17.8,.663,.004,.575,17.0,21.3,19.2,7.9,1.4,3.7,13.1,12.4,2.8,1.4,4.2,.182,0.2,0.4,0.6,0.7,,diabamo01
121,Bobby Portis,30,MIL,PF,46,8,1114,16.6,.583,.385,.089,6.0,24.4,15.3,10.8,1.1,0.7,8.0,22.7,1.0,1.0,2.0,.086,1.2,-1.6,-0.4,0.4,,portibo01
122,Ausar Thompson,23,DET,SF,43,42,1106,15.6,.534,.052,.379,9.3,16.1,12.7,14.5,3.4,2.9,13.2,18.3,0.7,2.3,3.0,.129,-1.2,2.7,1.5,1.0,,thompau01
123,Rui Hachimura,27,LAL,PF,37,27,1102,11.4,.611,.443,.136,2.8,10.6,6.8,4.2,0.9,1.0,7.1,15.5,1.1,0.4,1.5,.067,-0.8,-2.1,-2.9,-0.3,,hachiru01
124,Ayo Dosunmu,26,CHI,SG,42,7,1097,16.9,.632,.394,.216,3.2,8.2,5.8,19.5,1.3,1.0,9.6,20.9,2.3,0.5,2.8,.123,1.5,-0.9,0.6,0.7,,dosunay01
125,Draymond Green,35,GSW,PF,41,41,1093,10.1,.532,.607,.165,3.1,20.4,11.7,26.9,1.6,2.4,26.0,16.9,-0.5,1.5,1.0,.043,-2.8,1.5,-1.3,0.2,,greendr01
126,Josh Giddey,23,CHI,PG,34,31,1090,19.3,.575,.343,.379,4.1,24.2,14.3,39.6,1.3,0.9,18.0,25.9,1.5,1.0,2.5,.110,2.7,0.3,2.9,1.4,,giddejo01
127,P.J. Washington,27,DAL,PF,35,33,1089,12.9,.525,.333,.265,5.1,19.1,12.3,8.7,1.6,3.9,13.3,21.2,-0.8,1.7,0.9,.040,-2.2,1.0,-1.3,0.2,,washipj01
128,Alex Sarr,20,WAS,C,38,38,1088,20.7,.560,.205,.238,8.7,19.6,14.1,16.0,1.4,6.5,9.9,25.4,1.1,0.9,2.0,.089,1.7,0.0,1.7,1.0,,sarral01
129,Marcus Smart,31,LAL,SG,38,31,1083,9.8,.559,.620,.278,2.9,9.4,6.3,12.8,2.2,1.1,16.8,15.9,0.2,0.8,0.9,.042,-2.9,-0.2,-3.1,-0.3,,smartma01
130,Cam Spencer,25,MEM,SG,45,14,1080,17.4,.663,.618,.253,2.2,9.6,5.9,33.6,1.4,0.3,14.6,17.8,2.9,0.8,3.8,.168,3.1,-0.2,2.9,1.3,,spencca01
131,Luguentz Dort,26,OKC,SF,39,39,1075,8.9,.539,.721,.100,3.7,11.4,7.7,5.6,1.6,1.8,8.2,13.8,0.3,1.8,2.1,.093,-2.2,0.7,-1.5,0.2,,dortlu01
132,Sandro Mamukelashvili,26,TOR,C,48,11,1073,17.9,.626,.437,.241,7.6,17.9,12.7,13.3,1.6,2.8,8.8,18.4,2.2,1.5,3.6,.162,1.8,0.6,2.5,1.2,,mamuksa01
133,Terance Mann,29,BRK,SG,42,39,1073,11.1,.558,.411,.236,5.5,10.0,7.6,20.4,1.5,0.9,14.2,13.8,1.2,0.5,1.6,.074,-2.3,-0.4,-2.7,-0.2,,mannte01
134,Kyle Filipowski,22,UTA,C,48,16,1070,13.5,.566,.346,.287,7.9,23.2,15.4,13.0,1.5,1.9,13.4,17.9,0.7,0.4,1.1,.051,-1.6,-1.1,-2.7,-0.2,,filipky01
135,Devin Vassell,25,SAS,SG,34,32,1068,12.5,.556,.568,.170,1.5,11.5,6.6,10.3,1.4,1.3,6.5,18.9,0.9,1.3,2.2,.097,-0.5,0.1,-0.3,0.5,,vassede01
136,LaMelo Ball,24,CHO,PG,39,36,1063,19.3,.541,.553,.150,3.8,15.5,9.8,45.8,2.1,0.8,15.1,32.1,1.4,1.1,2.5,.114,4.1,-0.8,3.3,1.4,,ballla01
137,Mark Williams,24,PHO,C,44,40,1058,22.7,.695,.003,.430,14.1,23.3,18.6,6.6,2.2,3.9,11.3,17.2,3.3,1.9,5.1,.233,2.0,0.9,2.9,1.3,,willima07
138,Dennis Schröder,32,SAC,PG,40,14,1056,13.8,.531,.393,.315,2.3,10.8,6.5,29.1,1.5,0.5,14.1,22.7,0.4,0.2,0.7,.031,-0.2,-1.8,-2.0,0.0,,schrode01
139,Ace Bailey,19,UTA,SF,42,31,1051,11.0,.542,.433,.085,6.4,8.8,7.6,9.4,1.4,1.7,10.2,19.3,0.1,-0.1,0.0,.000,-1.7,-2.8,-4.5,-0.6,,baileac01
140,Spencer Jones,24,DEN,SF,44,32,1047,9.5,.636,.586,.236,5.6,9.1,7.5,4.6,1.9,1.6,10.6,9.9,1.1,0.8,1.9,.086,-2.3,-0.3,-2.6,-0.2,,jonessp01
141,Kel'el Ware,21,MIA,C,45,27,1042,20.3,.633,.339,.177,13.8,28.4,21.1,3.5,1.6,4.4,9.3,17.5,2.1,1.9,4.0,.184,2.2,0.2,2.3,1.1,,wareke01
142,Vit Krejci,25,ATL,PG,46,8,1028,11.3,.639,.776,.117,2.0,8.3,5.1,8.7,1.7,1.1,8.5,14.4,1.1,0.8,1.9,.088,-1.5,-0.3,-1.8,0.1,,krejcvi01
143,Jarrett Allen,27,CLE,C,38,38,1028,18.7,.642,.024,.432,8.8,22.6,15.6,10.2,1.8,2.7,12.4,18.1,2.1,1.4,3.5,.163,0.3,0.7,1.0,0.8,,allenja01
144,Tre Jones,26,CHI,PG,38,20,1020,18.6,.648,.212,.457,2.6,9.2,5.9,29.8,2.3,0.6,12.5,17.2,2.9,0.7,3.7,.174,0.9,0.4,1.4,0.9,,jonestr01
145,Egor Dёmin,19,BRK,PG,41,34,1019,12.2,.573,.713,.127,2.2,13.3,7.5,21.6,1.7,1.1,15.6,19.5,0.4,0.6,1.0,.046,-0.3,-0.6,-0.9,0.3,,demineg01
146,Kevin Huerter,27,CHI,SF,43,10,1015,13.4,.561,.552,.139,2.4,14.5,8.5,15.3,1.6,2.1,9.9,19.4,0.5,0.8,1.4,.065,-1.0,0.0,-1.0,0.3,,huertke01
147,Gary Trent Jr.,27,MIL,SG,42,17,1013,7.7,.524,.732,.115,0.6,4.8,2.7,8.7,1.3,0.3,7.0,15.5,-0.1,0.3,0.2,.011,-3.3,-1.8,-5.0,-0.8,,trentga02
148,Isaiah Stewart,24,DET,C,43,11,1011,15.1,.619,.318,.287,8.2,17.4,12.8,7.0,0.5,7.9,12.6,16.5,1.4,1.7,3.0,.144,-1.4,1.3,0.0,0.5,,stewais01
149,Jock Landale,30,MEM,C,43,23,1006,17.3,.601,.328,.237,14.2,15.1,14.6,10.6,1.1,2.1,9.4,18.7,2.0,1.0,3.0,.142,1.2,-0.8,0.4,0.6,,landajo01
150,Isaac Okoro,25,CHI,SG,40,40,1004,9.9,.579,.468,.206,4.8,6.7,5.8,7.5,1.0,1.8,7.0,13.2,1.0,0.4,1.5,.070,-2.8,-1.0,-3.8,-0.4,,okorois01
151,Jordan Goodwin,27,PHO,PG,46,3,999,14.1,.504,.516,.090,9.5,14.8,12.1,14.9,3.2,0.9,11.7,18.6,0.5,1.5,2.1,.100,0.1,1.4,1.4,0.9,,goodwjo01
152,Zion Williamson,25,NOP,PF,34,27,997,24.0,.629,.006,.568,8.5,14.5,11.4,19.7,1.7,2.1,11.6,28.0,2.6,0.6,3.2,.153,4.2,-0.6,3.6,1.4,,willizi01
153,LeBron James,41,LAL,SF,30,30,992,20.8,.588,.282,.340,2.6,17.5,10.3,32.1,1.6,1.7,13.5,28.2,1.7,0.8,2.5,.120,3.3,-0.4,2.9,1.2,,jamesle01
154,Svi Mykhailiuk,28,UTA,SF,41,41,981,10.1,.602,.649,.082,3.3,8.4,5.8,10.9,1.0,0.3,10.4,13.8,0.9,-0.3,0.5,.027,-0.7,-2.1,-2.8,-0.2,,mykhasv01
155,Miles McBride,25,NYK,SG,35,14,981,13.5,.592,.671,.119,2.4,7.9,5.1,13.6,1.5,0.6,6.8,17.5,1.8,0.8,2.5,.124,1.3,-0.1,1.2,0.8,,mcbrimi01
156,Oso Ighodaro,23,PHO,PF,49,7,980,12.0,.612,.005,.356,8.0,17.2,12.5,11.7,2.3,2.8,22.2,12.0,0.6,1.5,2.1,.102,-3.2,2.4,-0.8,0.3,,ighodos01
157,Tre Johnson,19,WAS,SG,39,21,980,12.5,.576,.522,.156,2.1,9.3,5.7,12.8,1.2,1.2,11.3,21.0,0.5,0.1,0.6,.028,-0.5,-2.2,-2.7,-0.2,,johnstr03
158,Brice Sensabaugh,22,UTA,SF,46,9,978,13.9,.587,.547,.240,4.0,11.4,7.6,10.7,1.5,0.5,10.2,22.4,0.8,-0.1,0.7,.035,-0.1,-2.8,-2.9,-0.2,,sensabr01
159,Jusuf Nurkić,31,UTA,C,37,32,976,17.0,.555,.194,.303,10.6,31.6,21.0,27.1,2.4,1.7,19.4,19.7,0.6,0.8,1.5,.072,-0.2,1.2,1.1,0.8,,nurkiju01
160,Pelle Larsson,24,MIA,SG,41,28,973,12.8,.582,.381,.344,3.4,10.4,6.9,17.9,1.1,0.8,10.6,16.0,1.3,0.8,2.2,.108,-1.1,0.2,-0.9,0.3,,larsspe01
161,Klay Thompson,35,DAL,SF,44,8,972,11.6,.535,.727,.070,1.5,10.2,6.0,9.5,1.1,1.3,7.6,22.7,-0.2,0.9,0.6,.032,0.1,-1.1,-1.0,0.3,,thompkl01
162,Isaiah Collier,21,UTA,PG,41,6,970,13.4,.575,.211,.405,1.9,9.7,5.7,39.1,1.6,1.3,22.6,18.1,0.8,-0.1,0.8,.038,-1.1,-2.3,-3.4,-0.3,,colliis01
163,Maxime Raynaud,22,SAC,C,42,25,965,13.8,.584,.113,.219,8.3,23.5,15.8,6.8,0.9,1.9,11.0,17.0,0.8,0.5,1.3,.066,-2.2,-1.4,-3.7,-0.4,,raynama01
164,Brandon Miller,23,CHO,SF,32,32,958,17.2,.573,.483,.236,3.9,12.7,8.4,18.5,1.6,2.6,12.5,28.9,0.9,0.9,1.8,.092,1.6,-0.6,1.0,0.7,,millebr02
165,Jerami Grant,31,POR,PF,33,14,956,15.9,.594,.465,.498,3.6,10.0,6.7,13.1,1.1,2.1,11.9,25.0,1.6,0.7,2.2,.111,1.2,-1.1,0.1,0.5,,grantje01
166,Sidy Cissoko,21,POR,SF,44,21,954,7.1,.535,.622,.302,4.3,7.0,5.7,8.6,1.5,1.3,15.3,12.8,0.1,0.6,0.8,.038,-4.2,-0.1,-4.3,-0.5,,cissosi01
167,Victor Wembanyama,22,SAS,C,33,24,954,27.9,.621,.297,.420,7.4,33.9,20.8,16.5,1.4,8.5,12.4,32.6,2.0,2.3,4.3,.217,5.4,3.7,9.0,2.7,,wembavi01
168,Grayson Allen,30,PHO,SG,32,23,954,16.0,.578,.673,.224,2.7,8.9,5.8,19.1,2.4,1.0,10.4,22.5,1.5,1.1,2.6,.132,1.8,0.3,2.1,1.0,,allengr01
169,Kentavious Caldwell-Pope,32,MEM,SG,45,13,946,11.2,.535,.502,.211,2.0,10.2,6.2,18.8,1.9,0.8,13.6,17.3,0.3,0.9,1.2,.060,-2.1,0.4,-1.7,0.1,,caldwke01
170,Tristan Da Silva,24,ORL,SF,42,14,944,11.4,.557,.508,.116,3.5,13.1,8.2,7.4,1.9,0.9,9.7,17.0,0.3,0.9,1.2,.061,-1.2,-0.2,-1.4,0.1,,dasiltr01
171,Ron Holland,20,DET,SF,45,5,935,11.3,.508,.365,.282,5.7,16.7,11.3,9.0,3.1,1.7,14.8,18.7,-0.4,1.8,1.4,.073,-3.5,1.7,-1.8,0.0,,hollaro01
172,Dean Wade,29,CLE,PF,41,20,934,10.4,.565,.737,.186,4.0,16.1,10.0,8.4,1.6,1.7,5.8,9.9,1.1,1.0,2.1,.106,-1.3,1.1,-0.2,0.4,,wadede01
173,Brandon Williams,26,DAL,PG,42,11,932,15.6,.548,.251,.431,2.6,11.1,7.0,25.0,2.3,0.8,14.5,25.4,0.2,1.1,1.3,.069,-1.3,0.5,-0.8,0.3,,willibr03
174,Josh Okogie,27,HOU,SG,46,28,929,10.3,.562,.552,.254,6.9,9.4,8.1,6.1,2.4,1.1,12.9,11.5,0.8,1.1,1.9,.099,-2.1,1.1,-1.0,0.2,,okogijo01
175,Jay Huff,27,IND,C,48,26,926,15.6,.593,.639,.158,5.2,15.9,10.3,9.8,1.2,8.9,10.3,17.2,0.8,1.3,2.0,.105,-0.8,2.1,1.3,0.8,,huffja01
176,Nicolas Batum,37,LAC,PF,46,4,922,8.3,.598,.949,.063,2.3,12.4,7.5,5.3,2.0,2.0,13.1,10.0,0.3,0.7,1.1,.056,-1.8,0.5,-1.3,0.2,,batumni01
177,Caleb Love,24,POR,SG,41,1,919,11.0,.499,.596,.107,2.8,10.5,6.6,18.2,1.2,0.4,10.5,22.6,0.0,0.6,0.5,.028,-1.2,-1.6,-2.8,-0.2,,loveca01
178,Luke Kornet,30,SAS,C,38,22,912,18.7,.700,.000,.458,14.0,16.3,15.1,10.9,0.8,4.9,7.3,10.7,3.1,1.4,4.4,.232,1.8,1.9,3.7,1.3,,kornelu01
179,Collin Sexton,27,CHO,SG,40,12,908,17.2,.608,.341,.378,2.3,7.5,5.0,26.4,1.9,0.7,15.7,25.8,1.6,0.7,2.2,.118,1.1,-0.8,0.3,0.5,,sextoco01
180,Nique Clifford,23,SAC,SG,46,6,903,6.8,.482,.440,.159,4.1,13.0,8.5,8.9,1.4,1.4,15.4,15.1,-0.9,0.3,-0.6,-0.030,-4.7,-1.2,-5.8,-0.9,,cliffni01
181,Precious Achiuwa,26,SAC,C,43,29,903,14.1,.543,.192,.269,10.2,20.2,15.1,8.0,1.8,2.3,9.1,15.2,0.7,0.6,1.4,.073,-1.1,-0.4,-1.5,0.1,,achiupr01
182,Luke Kennard,29,ATL,SG,44,0,902,13.3,.703,.618,.145,2.1,9.2,5.7,13.8,1.7,0.4,11.7,12.7,1.6,0.7,2.3,.120,-0.1,0.1,0.0,0.5,,kennalu01
183,Malik Monk,27,SAC,SG,40,0,896,14.1,.574,.474,.174,1.5,8.8,5.1,17.5,1.4,1.6,11.4,23.4,0.5,0.2,0.7,.036,0.6,-1.7,-1.1,0.2,,monkma01
184,Quinten Post,25,GSW,PF,50,32,891,13.0,.561,.650,.087,6.1,18.6,12.3,11.0,1.2,2.5,9.6,18.6,0.6,1.1,1.7,.092,-0.7,0.1,-0.7,0.3,,postqu01
185,Tobias Harris,33,DET,PF,32,32,888,14.5,.572,.368,.243,3.9,14.7,9.3,12.4,1.6,0.8,8.6,19.4,1.3,1.2,2.5,.134,0.3,0.3,0.7,0.6,,harrito02
186,Zaccharie Risacher,20,ATL,SF,36,36,887,11.8,.558,.470,.157,4.1,10.5,7.3,8.1,1.7,1.9,8.4,18.6,0.2,0.8,1.0,.053,-2.1,-0.9,-3.1,-0.2,,risacza01
187,Javonte Green,32,DET,SG,47,4,883,13.1,.584,.558,.307,4.7,11.8,8.3,5.0,3.5,1.8,9.5,14.7,0.9,1.6,2.5,.137,-1.4,2.4,1.0,0.7,,greenja02
188,Ryan Kalkbrenner,24,CHO,C,37,26,879,17.6,.775,.011,.400,11.8,17.3,14.6,4.1,1.2,5.6,15.9,11.7,2.0,1.1,3.0,.165,0.1,0.9,1.0,0.7,,kalkbry01
189,Giannis Antetokounmpo,31,MIL,PF,30,30,876,33.3,.679,.078,.612,10.9,27.6,19.3,38.8,1.5,2.4,13.9,36.2,3.7,1.1,4.8,.261,8.0,2.3,10.3,2.7,,antetgi01
190,Kris Murray,25,POR,SF,34,11,874,9.2,.535,.446,.240,7.4,9.4,8.4,6.4,2.2,1.4,13.8,10.4,0.4,0.8,1.2,.066,-2.8,0.8,-2.0,0.0,,murrakr01
191,Will Richard,23,GSW,SG,45,15,872,12.3,.610,.613,.183,5.4,8.8,7.1,10.0,3.1,0.5,12.4,14.0,0.9,1.1,2.0,.111,-1.8,1.4,-0.4,0.4,,richawi02
192,Dominick Barlow,22,PHI,PF,37,30,872,14.0,.620,.255,.293,9.6,13.2,11.3,7.7,1.8,2.4,11.7,12.9,1.4,0.9,2.3,.127,-0.9,0.4,-0.5,0.3,,barlodo01
193,Jordan Clarkson,33,NYK,SG,45,0,866,10.1,.527,.478,.170,4.3,6.1,5.2,9.5,1.2,0.7,10.6,21.6,0.1,0.6,0.7,.039,-2.6,-2.0,-4.6,-0.6,,clarkjo01
194,Justin Champagnie,24,WAS,SF,45,11,858,16.2,.588,.356,.225,11.1,20.0,15.5,8.1,2.0,2.6,8.9,14.8,1.4,0.6,2.0,.112,-0.2,-0.6,-0.8,0.3,,champju01
195,Collin Murray-Boyles,20,TOR,PF,39,15,857,14.9,.590,.186,.255,12.6,13.5,13.1,13.0,2.0,3.6,15.7,15.2,1.0,1.2,2.2,.124,-0.9,1.3,0.4,0.5,,murraco01
196,Cameron Johnson,29,DEN,SF,28,28,857,11.4,.604,.514,.237,2.8,10.0,6.6,10.2,1.0,0.8,9.1,15.3,1.1,0.4,1.4,.081,-0.5,-1.7,-2.2,0.0,,johnsca02
197,Franz Wagner,24,ORL,SF,26,26,854,19.8,.593,.258,.418,5.2,15.5,10.3,17.5,1.6,0.9,8.8,26.3,1.7,0.8,2.6,.145,3.0,-0.1,2.8,1.0,,wagnefr01
198,Ryan Dunn,23,PHO,SF,42,11,851,11.5,.527,.449,.110,8.5,15.4,11.9,11.0,2.3,2.1,14.5,14.3,0.4,1.2,1.6,.090,-2.1,1.2,-0.9,0.2,,dunnry01
199,Jose Alvarado,27,NOP,PG,38,0,832,11.3,.559,.669,.088,1.9,12.3,7.0,19.8,2.1,0.5,14.8,15.8,0.5,0.4,0.9,.050,-1.5,-0.5,-2.1,0.0,,alvarjo01
200,Joel Embiid,31,PHI,C,27,27,829,24.3,.599,.221,.472,7.7,19.1,13.3,22.2,1.0,3.2,12.3,33.7,1.8,0.9,2.7,.155,4.5,-0.4,4.2,1.3,,embiijo01
201,Dru Smith,28,MIA,SG,48,1,828,14.6,.538,.414,.321,4.9,10.5,7.7,19.8,4.0,1.7,13.4,16.0,0.7,1.4,2.1,.124,-1.3,3.5,2.2,0.9,,smithdr01
202,Bennedict Mathurin,23,IND,SF,26,24,825,12.5,.582,.454,.380,2.5,16.5,9.2,10.1,1.0,0.4,13.2,23.2,0.2,0.6,0.7,.042,-1.4,-1.6,-3.0,-0.2,,mathube01
203,Jalen Smith,25,CHI,C,41,10,824,17.3,.602,.535,.213,10.1,26.5,18.5,8.9,1.0,3.5,10.1,19.3,1.2,0.9,2.1,.122,0.6,-0.8,-0.2,0.4,,smithja04
204,Paul George,35,PHI,PF,27,27,824,15.6,.556,.489,.215,1.8,17.1,9.3,18.2,2.4,1.4,10.2,22.2,0.7,1.0,1.8,.102,0.5,0.4,0.9,0.6,,georgpa01
205,Aaron Nesmith,26,IND,SF,27,24,824,10.5,.512,.565,.222,4.8,13.1,8.8,11.3,1.0,1.6,9.9,20.2,-0.2,0.6,0.4,.022,-2.1,-1.3,-3.4,-0.3,,nesmiaa01
206,Kobe Sanders,23,LAC,SG,39,8,819,8.1,.570,.486,.179,2.8,10.8,6.9,10.5,1.5,0.5,18.1,15.6,-0.1,0.4,0.3,.017,-3.9,-0.9,-4.7,-0.6,,sandeko01
207,Gradey Dick,22,TOR,SG,50,1,818,10.6,.552,.533,.237,4.1,11.1,7.5,5.7,1.9,0.6,8.5,17.2,0.3,0.9,1.2,.072,-2.8,-0.4,-3.2,-0.2,,dickgr01
208,Day'Ron Sharpe,24,BRK,C,45,3,817,20.6,.651,.138,.527,15.1,26.1,20.3,20.3,2.9,2.1,20.0,18.5,1.7,1.1,2.8,.163,0.6,1.5,2.1,0.9,,sharpda01
209,Austin Reaves,27,LAL,SG,23,22,812,23.1,.666,.456,.528,2.4,14.5,8.6,27.8,1.3,0.6,14.0,28.5,2.7,0.5,3.1,.186,5.2,-1.1,4.2,1.3,,reaveau01
210,Ben Sheppard,24,IND,SG,37,12,807,8.1,.504,.627,.160,2.8,12.8,7.6,10.8,1.2,0.4,7.3,12.8,0.2,0.5,0.7,.039,-3.4,-0.2,-3.5,-0.3,,sheppbe01
211,Aaron Wiggins,27,OKC,SG,34,13,807,12.7,.565,.554,.131,3.0,12.2,7.8,10.6,1.8,2.7,12.3,19.3,0.1,1.5,1.6,.093,-0.3,0.6,0.3,0.5,,wiggiaa01
