Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
212,Isaiah Joe,26,OKC,SG,40,1,806,13.9,.634,.818,.241,2.4,10.7,6.7,9.3,1.3,0.9,7.6,17.6,1.4,1.2,2.6,.157,1.0,0.0,1.0,0.6,,joeis01
213,Kelly Oubre Jr.,30,PHI,SF,25,20,801,12.6,.600,.439,.252,2.8,12.6,7.6,5.8,1.8,1.9,10.2,17.1,0.6,0.8,1.4,.084,-1.2,-0.2,-1.4,0.1,,oubreke01
214,Yves Missi,21,NOP,C,42,7,800,15.3,.554,.005,.303,16.6,15.8,16.2,8.6,0.8,6.8,13.4,12.8,1.1,0.5,1.6,.096,-1.2,-0.9,-2.1,0.0,,missiyv01
215,Jordan Walsh,21,BOS,PF,43,20,799,13.9,.644,.439,.225,8.1,17.8,12.9,5.7,2.3,2.5,10.4,11.5,1.5,1.1,2.6,.156,-1.0,1.3,0.2,0.5,,walshjo01
216,RJ Barrett,25,TOR,SF,27,27,796,17.2,.574,.364,.310,3.3,16.4,9.8,19.1,1.3,0.6,8.7,25.8,0.9,0.9,1.8,.110,1.3,-0.8,0.5,0.5,,barrerj01
217,Walter Clayton,22,UTA,PG,44,0,793,10.8,.545,.559,.251,1.9,10.1,5.9,23.9,1.4,1.5,16.4,17.1,0.4,-0.1,0.3,.020,-1.7,-1.6,-3.3,-0.3,,claytwa01
218,Patrick Williams,24,CHI,PF,44,1,792,8.4,.507,.535,.161,3.6,12.9,8.3,8.0,1.7,1.1,12.5,16.6,-0.5,0.6,0.1,.004,-3.4,-1.0,-4.4,-0.5,,willipa01
219,Darius Garland,26,CLE,PG,26,26,792,15.5,.567,.435,.210,1.6,7.1,4.3,33.2,1.3,0.4,15.1,25.4,0.9,0.5,1.4,.084,0.9,-2.5,-1.6,0.1,,garlada01
220,Khris Middleton,34,WAS,SF,32,32,787,11.5,.525,.327,.238,4.0,13.6,8.7,19.1,1.6,1.0,14.6,19.3,0.1,0.2,0.3,.019,-2.8,-1.2,-4.0,-0.4,,middlkh01
221,Dylan Harper,19,SAS,SG,37,0,784,13.9,.507,.268,.207,3.8,12.7,8.3,24.5,2.0,1.1,12.1,23.2,0.1,1.1,1.2,.073,-1.7,1.1,-0.6,0.3,,harpedy01
222,Coby White,25,CHI,SG,27,24,784,14.8,.593,.534,.383,1.0,11.7,6.4,24.1,1.2,0.2,16.0,27.2,0.4,0.4,0.8,.049,-0.7,-2.2,-2.9,-0.2,,whiteco01
223,Mike Conley,38,MIN,PG,42,9,780,9.2,.513,.753,.271,2.1,8.1,5.2,19.2,1.5,1.0,12.0,11.7,0.8,0.8,1.5,.095,-2.4,0.8,-1.6,0.1,,conlemi01
224,Ziaire Williams,24,BRK,SF,34,4,778,11.0,.567,.705,.299,2.8,10.2,6.3,4.9,2.4,2.1,10.7,17.9,0.2,0.6,0.8,.048,-2.5,-0.2,-2.7,-0.1,,willizi02
225,Simone Fontecchio,30,MIA,SF,46,1,777,13.3,.573,.711,.219,4.3,14.9,9.6,12.2,1.3,0.8,9.9,20.0,0.7,0.8,1.5,.095,0.4,-0.1,0.3,0.4,,fontesi01
226,Craig Porter Jr.,25,CLE,PG,44,2,774,14.6,.543,.346,.146,8.6,13.0,10.8,21.9,2.5,3.2,16.5,12.6,1.0,1.0,2.0,.126,0.6,2.1,2.7,0.9,,portecr01
227,Kevin Porter Jr.,25,MIL,PG,23,22,773,17.1,.563,.353,.323,2.5,14.3,8.4,32.5,3.1,1.2,18.0,23.9,0.5,0.9,1.4,.086,0.3,0.8,1.1,0.6,,porteke02
228,Mouhamed Gueye,23,ATL,PF,48,4,771,11.0,.509,.436,.193,7.8,16.5,12.1,8.3,2.3,3.1,10.6,13.3,0.2,1.0,1.2,.072,-3.4,0.7,-2.7,-0.1,,gueyemo02
229,Herbert Jones,27,NOP,SF,27,27,761,9.8,.498,.485,.152,3.9,9.9,6.8,11.5,2.8,1.7,11.9,15.6,-0.1,0.5,0.4,.026,-3.5,0.5,-3.0,-0.2,,joneshe01
230,Keon Ellis,26,SAC,SG,43,5,758,9.2,.536,.689,.153,2.2,6.0,4.1,4.6,2.9,2.6,8.6,13.8,-0.1,0.4,0.4,.025,-3.0,0.9,-2.1,0.0,,elliske01
231,Bilal Coulibaly,21,WAS,SG,28,28,744,11.8,.509,.417,.399,3.9,15.1,9.5,12.9,2.6,3.2,13.3,17.3,-0.1,0.6,0.5,.032,-3.2,0.3,-2.9,-0.2,,coulibi01
232,Buddy Hield,33,GSW,SG,43,3,741,12.7,.569,.661,.111,3.8,11.8,7.8,12.4,2.2,1.1,11.7,19.5,0.3,0.9,1.2,.075,-0.7,0.1,-0.7,0.3,,hieldbu01
233,Tyus Jones,29,ORL,PG,46,8,739,8.7,.451,.643,.038,1.3,6.5,3.9,19.7,2.1,0.4,8.1,9.9,0.3,0.6,0.9,.061,-2.8,0.9,-1.8,0.0,,jonesty01
234,Jarred Vanderbilt,26,LAL,PF,38,3,736,11.6,.561,.412,.229,10.0,20.2,15.3,9.2,2.4,1.7,18.8,12.2,0.4,0.8,1.2,.078,-2.0,0.4,-1.7,0.1,,vandeja01
235,Steven Adams,32,HOU,C,32,11,730,15.9,.535,.000,.583,21.9,19.8,20.9,8.3,1.5,2.5,16.7,12.0,1.1,1.0,2.1,.141,0.0,-0.3,-0.4,0.3,,adamsst01
236,Andre Drummond,32,PHI,C,37,17,724,17.2,.564,.240,.306,18.7,30.4,24.5,5.4,1.3,4.0,12.9,14.9,1.1,1.2,2.3,.150,-0.1,-0.6,-0.7,0.2,,drumman01
237,Nikola Jović,22,MIA,PF,38,1,719,10.3,.497,.521,.332,3.3,17.1,10.1,17.5,1.5,1.9,16.2,21.6,-0.7,0.9,0.2,.014,-3.0,0.1,-2.9,-0.2,,jovicni01
238,Ja'Kobe Walter,21,TOR,SG,40,9,718,10.2,.570,.652,.199,4.2,9.2,6.6,6.7,2.4,0.8,8.8,14.2,0.5,0.8,1.3,.087,-2.6,0.9,-1.7,0.0,,walteja01
239,Lonzo Ball,28,CLE,PG,34,3,711,9.4,.428,.833,.121,3.9,17.1,10.4,22.8,2.9,1.2,22.1,13.7,-0.4,1.0,0.6,.039,-3.0,1.8,-1.2,0.1,,balllo01
240,Jalen Williams,24,OKC,SG,24,24,711,17.8,.542,.179,.250,2.6,14.3,8.7,28.1,2.2,1.2,11.2,25.6,0.6,1.4,2.0,.134,0.4,1.1,1.5,0.6,,willija06
241,Jordan Poole,26,NOP,PG,28,6,710,11.7,.533,.624,.287,0.9,7.0,3.9,17.5,1.3,1.2,12.2,25.3,0.1,0.1,0.2,.011,-0.8,-2.6,-3.4,-0.3,,poolejo01
242,Jalen Suggs,24,ORL,PG,27,27,698,17.0,.574,.515,.252,3.1,13.1,8.0,28.9,3.3,1.8,16.7,24.5,0.5,1.0,1.4,.099,0.8,1.8,2.5,0.8,,suggsja01
243,Marvin Bagley III,26,WAS,PF,36,7,696,20.1,.660,.078,.403,13.9,16.9,15.4,11.7,1.3,3.3,13.7,18.9,1.7,0.4,2.0,.140,1.5,-1.0,0.4,0.4,,baglema01
244,Vince Williams Jr.,25,MEM,PG,32,11,691,10.3,.463,.598,.151,4.9,15.1,10.0,28.6,1.7,1.9,18.8,19.7,-0.5,0.8,0.3,.021,-2.1,1.0,-1.1,0.2,,willivi01
245,Tyrese Martin,26,BRK,SG,36,6,688,11.3,.511,.593,.103,5.1,13.0,8.9,15.8,1.6,0.5,10.8,18.8,0.0,0.4,0.4,.026,-1.3,-1.4,-2.7,-0.1,,martity01
246,Jaxson Hayes,25,LAL,C,39,4,685,16.3,.769,.008,.526,9.5,16.4,13.1,6.5,1.0,3.3,10.9,11.6,1.9,0.5,2.4,.168,-0.2,-0.2,-0.4,0.3,,hayesja02
247,Drake Powell,20,BRK,SG,36,9,683,8.6,.568,.506,.236,1.5,8.4,4.8,12.9,1.5,0.7,15.8,14.6,0.1,0.3,0.4,.025,-4.2,-0.8,-5.0,-0.5,,poweldr01
248,Keegan Murray,25,SAC,PF,19,18,683,12.0,.502,.355,.147,4.8,14.4,9.5,6.2,1.6,3.9,7.4,18.7,-0.2,0.4,0.2,.015,-2.0,-0.8,-2.8,-0.2,,murrake02
249,Brook Lopez,37,LAC,C,40,7,681,10.1,.517,.740,.126,2.3,15.6,9.1,7.2,1.5,5.6,11.6,18.0,-0.4,0.7,0.3,.023,-2.6,0.2,-2.4,-0.1,,lopezbr01
250,Ryan Nembhard,22,DAL,PG,35,17,673,10.9,.524,.355,.057,1.1,8.7,5.0,35.8,0.6,0.0,18.2,17.8,0.2,0.4,0.6,.045,-2.1,-1.9,-4.1,-0.4,,nembhry01
251,Mitchell Robinson,27,NYK,C,34,13,668,20.3,.634,.000,.519,26.7,24.4,25.6,6.7,2.2,5.9,15.0,9.6,1.9,1.2,3.1,.224,2.0,0.7,2.7,0.8,,robinmi01
252,Micah Peavy,24,NOP,SG,42,1,665,8.5,.443,.389,.071,6.0,8.7,7.3,9.3,2.2,0.9,5.2,14.3,0.0,0.3,0.2,.016,-4.1,-1.0,-5.1,-0.5,,peavymi01
253,Daniel Gafford,27,DAL,C,32,22,664,16.0,.665,.000,.497,10.6,20.9,15.9,5.8,1.7,5.2,18.4,14.4,0.8,1.1,2.0,.144,-2.3,1.9,-0.4,0.3,,gaffoda01
254,Nae'Qwan Tomlin,25,CLE,PF,39,2,663,13.8,.553,.370,.226,9.1,11.4,10.2,7.5,2.1,3.5,6.5,15.3,0.9,0.8,1.7,.120,-1.6,0.7,-0.9,0.2,,tomlina01
255,Isaiah Hartenstein,27,OKC,C,25,24,663,19.5,.655,.022,.339,14.5,26.5,20.8,15.3,2.0,2.7,19.6,17.4,1.4,1.6,3.0,.214,0.6,2.0,2.6,0.8,,harteis01
256,Sam Merrill,29,CLE,SG,26,17,661,14.4,.659,.801,.146,2.9,7.0,4.9,12.9,1.2,0.6,8.4,17.9,1.5,0.4,1.9,.137,1.8,-1.1,0.7,0.5,,merrisa01
257,Hugo González,19,BOS,SF,43,2,657,10.3,.587,.458,.141,6.4,17.6,12.0,5.1,1.9,1.9,14.7,11.6,0.4,0.8,1.3,.091,-2.9,0.9,-2.0,0.0,,gonzahu01
258,Goga Bitadze,26,ORL,C,40,1,657,20.3,.703,.069,.359,14.5,20.9,17.6,10.6,2.2,6.5,11.6,12.2,1.9,1.1,3.0,.219,0.9,2.4,3.3,0.9,,bitadgo01
259,Daniss Jenkins,24,DET,PG,39,7,653,14.2,.532,.395,.238,3.6,7.9,5.8,28.2,2.7,1.1,16.0,21.2,0.4,1.0,1.4,.102,-0.4,0.5,0.1,0.3,,jenkida01
260,Jaylen Clark,24,MIN,SG,46,0,650,9.7,.519,.418,.346,7.0,8.1,7.6,5.9,2.5,1.1,7.8,12.4,0.4,0.8,1.3,.093,-3.5,1.1,-2.4,-0.1,,clarkja02
261,Luka Garza,27,BOS,C,39,1,650,20.5,.692,.307,.360,16.8,12.2,14.5,9.2,1.2,3.1,8.8,15.9,2.6,0.6,3.2,.240,2.5,-0.1,2.5,0.7,,garzalu01
262,Danny Wolf,21,BRK,PF,33,6,649,11.8,.507,.472,.187,6.0,20.4,12.8,14.5,1.5,2.0,11.2,19.3,0.0,0.5,0.5,.038,-2.5,-0.5,-3.1,-0.2,,wolfda01
263,Ochai Agbaji,25,TOR,SG,41,13,648,7.6,.501,.381,.173,5.6,10.7,8.1,6.1,1.3,1.7,9.5,13.1,0.0,0.6,0.7,.048,-4.7,-0.1,-4.8,-0.5,,agbajoc01
264,Aaron Gordon,30,DEN,PF,23,20,642,20.6,.632,.385,.399,5.6,18.7,12.5,13.5,1.2,0.6,7.0,23.6,1.8,0.5,2.3,.170,3.9,-1.1,2.8,0.8,,gordoaa01
265,Cody Williams,21,UTA,SG,35,12,641,7.8,.516,.330,.137,4.7,8.2,6.4,6.1,1.2,2.0,9.4,13.8,-0.1,-0.1,-0.2,-0.012,-3.7,-2.5,-6.2,-0.7,,willico04
266,Jaylin Williams,23,OKC,PF,34,7,633,10.8,.498,.734,.254,3.3,23.4,13.8,16.3,1.5,3.3,14.9,15.1,0.0,1.4,1.4,.104,-2.1,2.4,0.3,0.4,,willija07
267,Jalen Pickett,26,DEN,SG,34,16,632,11.1,.541,.536,.061,3.2,13.8,8.8,20.0,1.0,0.4,12.8,14.7,0.5,0.3,0.9,.068,-1.0,-0.9,-1.9,0.0,,pickeja02
268,Anthony Davis,32,DAL,PF,20,20,626,21.7,.551,.111,.243,10.8,26.1,18.6,14.9,1.7,4.4,10.0,27.5,0.4,1.1,1.6,.120,1.5,1.1,2.6,0.7,,davisan02
269,Adem Bona,22,PHI,C,38,3,625,11.6,.625,.054,.674,11.1,15.1,13.1,1.9,1.0,7.6,19.0,10.0,0.5,0.8,1.3,.101,-3.8,0.7,-3.2,-0.2,,bonaad01
270,Caris LeVert,31,DET,SG,31,0,612,11.8,.541,.490,.260,1.5,8.6,5.1,19.3,2.2,3.2,16.2,18.2,0.1,0.9,1.0,.079,-1.4,1.3,-0.1,0.3,,leverca01
271,T.J. McConnell,33,IND,PG,35,0,602,21.1,.563,.122,.051,2.7,11.7,7.0,50.4,3.2,1.0,12.4,24.2,1.0,0.7,1.7,.133,2.0,1.3,3.4,0.8,,mccontj01
272,Tari Eason,24,HOU,PF,25,11,597,16.9,.579,.467,.115,9.2,19.2,14.2,8.7,2.8,2.5,13.8,20.7,0.6,1.0,1.7,.133,1.2,0.9,2.1,0.6,,easonta01
273,Jrue Holiday,35,POR,PG,21,19,590,16.4,.539,.506,.141,4.9,12.6,8.7,36.7,2.2,0.5,15.7,22.8,0.7,0.5,1.2,.102,2.2,-0.3,1.9,0.6,,holidjr01
274,Isaiah Jackson,24,IND,C,35,14,584,15.2,.619,.006,.422,14.1,21.0,17.4,6.4,1.7,3.7,17.6,16.0,0.6,0.7,1.4,.112,-3.0,0.1,-2.9,-0.1,,jacksis01
275,Alex Caruso,31,OKC,SG,32,0,582,13.7,.538,.613,.167,3.5,13.0,8.5,15.0,3.7,2.0,12.2,15.3,0.3,1.3,1.7,.136,-0.9,3.5,2.6,0.7,,carusal01
276,Jared McCain,21,PHI,SG,34,1,581,9.0,.491,.495,.114,0.7,13.0,6.7,13.4,1.8,0.3,10.8,18.9,-0.3,0.5,0.2,.017,-3.5,-0.8,-4.3,-0.3,,mccaija01
277,Al Horford,39,GSW,C,29,4,579,14.8,.557,.687,.071,5.3,22.6,13.8,15.8,2.0,5.0,12.6,15.6,0.4,1.0,1.4,.120,0.1,2.0,2.2,0.6,,horfoal01
278,Gary Payton II,33,GSW,SG,45,1,570,13.9,.582,.276,.077,9.3,17.5,13.4,17.5,2.0,2.2,17.6,16.8,0.4,0.8,1.2,.103,-1.9,1.3,-0.6,0.2,,paytoga02
279,Baylor Scheierman,25,BOS,SG,43,4,569,9.6,.624,.739,.090,3.3,14.3,8.8,7.7,2.1,0.4,13.5,10.1,0.6,0.6,1.2,.104,-2.7,1.3,-1.4,0.1,,scheiba01
280,Ja Morant,26,MEM,PG,20,20,569,16.7,.521,.264,.363,1.5,10.6,6.1,45.2,1.7,1.0,16.0,32.2,0.1,0.5,0.6,.050,0.4,-1.8,-1.4,0.1,,moranja01
281,Bones Hyland,25,MIN,PG,40,3,567,14.2,.575,.599,.184,2.2,10.1,6.2,25.0,1.8,1.4,12.7,19.9,0.8,0.7,1.4,.122,-0.2,0.7,0.5,0.4,,hylanbo01
282,Will Riley,19,WAS,SF,39,1,567,10.2,.508,.404,.254,5.3,8.6,7.0,11.8,1.7,0.6,13.0,18.1,-0.1,0.1,0.0,-0.004,-3.0,-2.0,-5.0,-0.4,,rileywi01
283,Bryce McGowens,23,NOP,SG,29,11,563,11.6,.606,.359,.438,1.9,9.7,5.7,9.1,1.4,0.7,7.6,14.6,0.8,0.1,1.0,.081,-2.1,-1.4,-3.5,-0.2,,mcgowbr01
284,Corey Kispert,26,2TM,SF,29,8,562,13.2,.613,.609,.259,1.9,10.3,6.0,11.9,1.2,0.6,9.9,18.1,0.7,0.1,0.8,.069,0.2,-1.8,-1.6,0.1,,kispeco01
285,Corey Kispert,26,WAS,SF,19,2,370,14.1,.649,.639,.286,1.7,10.9,6.3,12.4,1.0,0.7,9.5,16.7,0.7,0.0,0.7,.088,0.9,-2.0,-1.0,0.1,,kispeco01
286,Corey Kispert,26,ATL,SF,10,6,192,11.5,.556,.564,.218,2.2,9.1,5.7,10.8,1.5,0.5,10.5,20.8,0.0,0.1,0.1,.033,-1.3,-1.4,-2.7,0.0,,kispeco01
287,Tyler Kolek,24,NYK,PG,41,1,556,11.7,.528,.432,.084,2.5,12.9,7.6,29.5,1.6,0.5,18.3,18.2,0.3,0.5,0.9,.074,-1.5,0.1,-1.4,0.1,,kolekty01
288,Johnny Furphy,21,IND,SG,30,16,541,10.0,.560,.472,.252,5.5,20.8,12.9,7.0,1.7,1.1,14.0,12.8,0.1,0.6,0.6,.054,-3.6,0.4,-3.2,-0.2,,furphjo01
289,Domantas Sabonis,29,SAC,C,18,14,540,18.4,.589,.133,.360,11.6,30.4,20.8,21.5,1.5,0.7,17.5,22.6,0.5,0.5,1.0,.089,0.1,-0.1,0.0,0.3,,sabondo01
290,Jonas Valančiūnas,33,DEN,C,37,4,537,21.1,.617,.063,.310,12.7,27.4,20.4,14.4,0.7,3.9,13.7,25.7,1.0,0.7,1.6,.147,0.1,-0.7,-0.6,0.2,,valanjo01
291,Robert Williams,28,POR,C,33,1,537,21.8,.758,.102,.203,12.7,29.3,20.9,9.1,1.9,7.4,13.5,11.2,1.4,1.0,2.5,.220,2.4,2.7,5.1,1.0,,williro04
292,Cam Thomas,24,BRK,SG,22,8,535,13.1,.526,.368,.361,1.7,7.3,4.3,22.8,0.4,0.3,11.1,31.0,-0.1,0.0,0.0,-0.004,-0.7,-4.2,-4.9,-0.4,,thomaca02
293,Jaden Ivey,23,DET,SG,32,2,534,12.9,.575,.507,.180,4.0,10.4,7.2,13.4,1.3,2.2,13.3,20.2,0.4,0.7,1.0,.094,0.0,0.0,0.0,0.3,,iveyja01
294,Caleb Martin,30,DAL,SF,41,7,532,9.0,.500,.294,.229,4.1,14.3,9.3,14.7,2.4,1.7,18.4,11.6,-0.1,0.8,0.7,.060,-4.4,2.5,-1.9,0.0,,martica02
295,Jabari Walker,23,PHI,PF,42,6,531,10.7,.518,.450,.314,10.4,17.6,13.9,5.1,1.5,1.9,9.6,14.1,0.4,0.6,0.9,.084,-3.4,-0.6,-4.0,-0.3,,walkeja01
296,Jakob Poeltl,30,TOR,C,21,21,531,16.4,.691,.000,.370,11.9,22.4,17.1,12.0,1.5,2.0,18.3,14.5,0.9,0.8,1.7,.152,-0.7,1.1,0.4,0.3,,poeltja01
297,Gabe Vincent,29,LAL,PG,27,7,525,5.5,.512,.795,.090,1.6,3.9,2.8,8.7,1.1,0.2,8.0,11.4,0.2,0.1,0.2,.023,-3.8,-1.4,-5.2,-0.4,,vincega01
298,Justin Edwards,22,PHI,SF,36,5,522,9.3,.529,.667,.122,3.5,8.2,5.8,10.7,2.1,1.4,11.8,15.1,0.1,0.5,0.6,.054,-3.0,0.0,-2.9,-0.1,,edwarju01
299,Gary Harris,31,MIL,SG,35,2,518,8.0,.653,.618,.132,2.6,8.6,5.6,9.3,2.0,0.9,17.2,7.4,0.4,0.3,0.8,.071,-3.4,0.8,-2.5,-0.1,,harriga01
300,Josh Minott,23,BOS,PF,31,10,517,16.0,.656,.563,.193,8.4,16.4,12.4,8.4,2.3,2.2,11.5,13.8,1.1,0.7,1.8,.169,1.1,1.0,2.2,0.5,,minotjo01
301,Dwight Powell,34,DAL,C,34,7,510,11.9,.674,.000,1.132,10.7,17.1,14.0,9.0,1.7,2.0,18.5,8.0,0.9,0.7,1.6,.146,-3.0,1.8,-1.1,0.1,,poweldw01
302,Rayan Rupert,21,POR,SG,42,0,503,6.2,.435,.460,.111,4.2,12.0,8.0,7.7,2.6,0.4,13.1,12.3,-0.4,0.5,0.1,.014,-5.8,1.0,-4.8,-0.4,,ruperra01
303,Cole Anthony,25,MIL,PG,33,0,500,10.9,.493,.318,.118,3.0,15.4,9.2,34.1,2.0,1.9,21.4,26.0,-0.8,0.5,-0.4,-0.034,-3.9,-0.8,-4.7,-0.3,,anthoco01
304,Gui Santos,23,GSW,PF,39,4,497,12.6,.619,.590,.209,6.8,15.9,11.3,12.3,2.0,2.0,17.5,15.0,0.4,0.7,1.1,.101,-1.5,1.0,-0.5,0.2,,santogu01
305,Tidjane Salaün,20,CHO,PF,31,0,497,13.4,.642,.496,.213,5.6,24.6,15.4,7.4,1.2,1.3,13.5,15.1,0.6,0.6,1.1,.111,-0.8,0.2,-0.6,0.2,,salauti01
306,Zeke Nnaji,25,DEN,PF,36,2,495,12.0,.592,.331,.331,6.7,16.9,12.1,5.5,1.3,3.7,13.2,14.2,0.4,0.5,0.9,.085,-2.7,-0.4,-3.1,-0.1,,nnajize01
307,D'Angelo Russell,29,DAL,PG,26,3,495,12.4,.511,.483,.259,1.8,11.0,6.5,30.9,1.1,0.3,15.9,26.1,-0.3,0.4,0.1,.010,-0.7,-1.4,-2.2,0.0,,russeda01
308,Jordan Hawkins,23,NOP,SG,35,0,493,5.0,.424,.550,.107,3.0,10.8,6.8,7.0,0.8,1.4,11.1,16.7,-0.7,0.1,-0.7,-0.064,-4.6,-3.1,-7.7,-0.7,,hawkijo01
309,Taylor Hendricks,22,UTA,PF,33,6,492,10.2,.574,.547,.250,6.4,15.9,11.0,6.5,1.2,1.6,12.3,13.6,0.3,0.0,0.3,.028,-1.8,-2.0,-3.8,-0.2,,hendrta01
310,Jordan Miller,26,LAC,SF,26,0,490,16.6,.634,.356,.456,5.9,13.5,9.8,12.1,2.0,1.0,11.8,18.4,0.9,0.4,1.3,.129,1.1,-0.2,0.8,0.3,,millejo02
311,Tre Mann,24,CHO,PG,30,1,488,9.0,.478,.524,.084,4.5,11.0,7.9,19.9,1.4,0.6,14.5,23.8,-0.4,0.3,-0.1,-0.006,-3.3,-1.5,-4.9,-0.3,,manntr01
312,De'Anthony Melton,27,GSW,PG,23,0,487,14.1,.544,.466,.262,2.9,11.6,7.2,15.3,3.4,2.0,13.1,24.5,-0.1,0.8,0.7,.064,-2.9,0.8,-2.1,0.0,,meltode01
313,Nolan Traoré,19,BRK,PG,25,2,483,6.8,.464,.456,.195,0.7,7.3,3.8,21.9,1.1,1.7,16.1,17.5,-0.5,0.2,-0.3,-0.028,-5.2,-1.7,-6.9,-0.6,,traorno01
314,Jonathan Kuminga,23,GSW,PF,20,13,476,12.4,.543,.273,.340,6.6,20.5,13.5,15.7,0.8,1.1,17.1,23.8,-0.2,0.5,0.3,.032,-2.5,-1.1,-3.6,-0.2,,kuminjo01
315,Karlo Matković,24,NOP,PF,37,2,472,15.8,.690,.341,.119,6.9,20.0,13.3,7.5,1.2,5.5,12.0,13.2,0.8,0.4,1.2,.123,-0.2,0.4,0.2,0.3,,matkoka01
316,Dalton Knecht,24,LAL,SF,38,1,464,9.2,.552,.603,.115,2.9,11.5,7.3,3.9,0.9,1.8,9.4,16.9,0.0,0.2,0.2,.023,-2.4,-2.0,-4.4,-0.3,,knechda01
317,Landry Shamet,28,NYK,SG,23,6,464,12.8,.619,.734,.294,2.3,7.9,5.1,8.3,1.4,1.1,6.4,15.6,0.9,0.4,1.2,.128,0.7,0.1,0.7,0.3,,shamela01
